Charytatywność,Благотворительность
Obejrzeć się,"Осмотреться, оглянуться"
Sterta,Куча
Ufać,Доверять
Ufność,Доверие
Przejąć się/przejmować się,"Расстраиваться, переживать"
Stwierdzić z rezygnacją,Передумать (zmienić zdanie)
Pigułki,Таблетки
Zlitować się,Сжалиться
Ochydna,"Отвратительная, мерзкая"
Mina,Это выражение на лице
Zrób minę,"Покажи эмоцию, покажи гримасу"
Ekscytacja,"Волнение, возбуждение (позитивное)"
Celebryta/gwiazda,Селебрити/звезда
Wspierać,Поддерживать
Wsparcie,Поддержка
Dubbing,Дубляж
Dzwięk,Звук
Przestępca,Преступник
Przestępstwo,Преступление
Złodziej,Вор
Morderca,Убийца
Oszukać,Обмануть
Oszustwo,Мошенничество
Oszust,Мошенник
Gangster,"Гангстер, разбойник"
Mafia,Мафия
Ofiara,Жертва
Świadek,Свидетель
Zatrzymać,Задержать
Podejrzana osoba,Подозреваемый
Za/pobiec czemuś,Предотвратить что-то
Wieczerza,Тоже ужин
Zemsta,Месть
Zazdrość,Зависть и ревность
Więzienie,Тюрьма
Wykształcenie,Образование
Stan cywilny,Семейное положение
Ekipa telewizyjna,Съёмочная группа
Oprócz,Кроме
Cecha charakteru,Черта характера
Pasja,"Увлечение, отдушина, страстное желание"
Jedynak,Единственный ребёнок
Porywcza,Вспыльчивая
Cierpieć,"Страдать, но терпеливый - cierpliwy"
Uparta,Упёртая
Dążący do celu (celowy/nacelowany),Целеустремлэнный
Kosmetolożka,Женщина косметолог😅
Acne/trądzik,Акне
Sroga,"Строгая ( обратите внимание, нет буквы т)"
Gra planszowa,Настольная игра
Tchórz,"Трус ( хорёк, если речь идёт о животном)"
Tchórzofretka,Хорёк
Arogański,Высокомерный
Bywa,Бывает ( если человек иногда обладает какой-то чертой)
Notatki,"Заметки, конспект"
Odbierać kogoś jakoś,Глагол имеет много значений.
Мы разбирали в значении,Видеть какие-то черты в ком-то
Karuzela,Карусель
Wredny,Вредный
Psotnik,Проказник
Ubierać choinkę,Наряжать ёлку
Hasać,Радостно бегать
Wyskakiwać,Выскакивать
Wyprzedzić,"Опережать, обгонять"
Hamować,Тормозить
Wymusić pierwszeństwo,Подрезать
Zdążyć,Успеть
Tyl,Зад
Przód,Перед
Zrobić z nas winnych,Обвинить нас
Zastraszyć,Напугать
Tam i z powrotem,Туда и обратно
Zachowywać się,Вести себя
Prawо jazdy,Водительские права
Piesi,Пешеходы
Przekierowanie uwagi,Смещение фокуса/внимания
Tłum,Толпа
Hamulec,Тормоз
Załatwię ten problem,Решу проблему
Kupa,Какашка )
Załatwić się,Сходить в туалет (разговорное)
Opłaca się,Имеет смысл/выгодно
Sznurówki,Шнурки
Aparat fotograficzny,Фотоаппарат
Obiektyw,Объектив
Stłukł się,Разбился
Wada,"Минус/отрицательная черта, также брак/дефект"
Zaletа,Плюс/положительная черта
Wadliwy towar,Бракованый товар
Reklamować,Рекламировать или возвращать товар
Reklama,Реклама
Reklamacja,Возврат товара
Kulki wełniane,Шерстяные катышки
Zmechacenie,Скатывание на одежде
Źródło,Источник
Nastolatek/nastolatka,Подросток
Bohater/bohaterka,Герой/героиня
"Hurt, hurtownia","Опт, оптовая продажа"
Fabuła,Сюжет
Gatunek,Жанр
Wpaść,Зайти в гости
Wpadka,"Вписка, вечеринка"
Dzień świstaka,День сурка
Randka,Свидание
Dawaj się pobierzemy!,Давай поженимся
Zrelaksować umysł,"Дать мозгу отдохнуть, расслабить разум"
Postrzegać,Воспринимать
Brzmi jak plan,Звучит как план
Kosmita/obcy,Пришелец
Dawka,Доза
Internista,Врач первого контакта
Opowiadać,Рассказывать
Wiedzieć,Знать
Widzieć,Видеть
Pytać,Спрашивать
Musieć,Должен сделать
Krewne,Родственники
Narodowość,Национальность
Społeczeństwo,Общество
Przekazać,Передать
Przepis,Рецепт
Szanować,Уважать
Samodzielnie,Самостоятельно
Używać,Принимать/принимать
Brać witaminy,Принимать витамины
Na jakiej podstwie,На каком основании
Do polskiego społeczeństwa,К польскому обществу
Przekazać tradycje,Передать традиции
Wykształcenie techniczne,Техническое образование
Technik-programista,Техник-програмист
Inżynier telekomunikacji,Инженер телекоммуникаций
Akademia komunikacji,Академия связи
Branża it,Сфера it
Wiedeń,Вена
Awans,Повышение
Awansować,Получить повышение
Delegacja,Командировка
Im więcej się da,Чем больше получится
Nadzienie,Начинка
Nadziewać,Начинять
Odwiedzić,Посетить
Podaż,Предложение
Popyt,Спрос
Przeprocesować,Обрабатывать
Przyśpieszyć,Ускорить
Zabytki,Достопримечательности
Zasługuje na uwagę,Заслуживает внимания
Fala,Волна
Golarka,Бритва
Majątek,Имущество
Poza,Вне
Żyletka,Лезвие
Adaptacja,Адаптация
Aktor,Актер
Aktorka,Актриса
Aktorska gra,Актерская игра
Autorski film,Авторский фильм
Bafta,Бафта (британская кинопремия)
Baśniowy,Сказочный
Bilety na film,Билеты в кино
Box office,Кассовые сборы
Czas trwania,Продолжительность
Dialogi,Диалоги
Dramat,Драма
Dubler,Дублер
Działać przed kamerą,Работать перед камерой
Dźwięk filmowy,Звук кино
Efekty specjalne,Спецэффекты
Ekranizacja,Экранизация
Fantastyczny,Фантастический
Festiwal filmowy,Кинофестиваль
Film,Фильм
Film animowany,Анимационный фильм
Film dokumentalny,Документальный фильм
Film noir,Фильм нуар
Film oparty na faktach,Фильм по реальным событиям
Film wojenny,Военный фильм
Filmowy świat,Киномир
Gwiazda filmowa,Кинозвезда
Główna rola,Главная роль
Horror,Ужасы
Kadr,Кадр
Kamera filmowa,Кинокамера
Kamera operatora,Операторская камера
Kategoria filmowa,Киножанр
Kinematografia,Кинематография
Kinematografia europejska,Европейская кинематография
Kinematografia polska,Польская кинематография
Kinematografia światowa,Мировая кинематография
Kino,Кинотеатр
Kino niezależne,Независимое кино
Kinoman,Киноман
Kinowy klasyk,Киноклассика
Kinowy maraton,Киномарафон
Kinowy sukces,Киновуха
Klimat filmu,Атмосфера фильма
Komedia,Комедия
Komedia romantyczna,Романтическая комедия
Kostiumy,Костюмы
Kreacja aktorska,Актерская роль
Kryminał,Криминальный фильм
Krytyka filmowa,Кинокритика
Książka filmowa,Кинокнига
Kulisy filmu,Закулисы фильма
Melodia przewodnia,Тема
Mistrz kina,Мастер кино
Montaż,Монтаж
Montażysta,Монтажер
Muzyka filmowa,Фильмовая музыка
Nagranie dźwiękowe,Звуковая дорожка
Nagroda aktorska,Кинопремия за актерскую работу
Nagroda filmowa,Кинопремия
Nagroda publiczności,Награда зрителей
Napisy,Субтитры
Odgłosy,Звуки
Oglądać,Смотреть
Oskar,Оскар
Plakat filmowy,Плакат фильма
Plan zdjęciowy,Съемочная площадка
Premiera,Премьера
Produkcja,Продукция
Projektor filmowy,Кинопроектор
Recenzja filmu,Обзор фильма
Rekwizyty,Реквизит
Reżyser,Режиссер
Rola drugoplanowa,Второстепенная роль
Satyra filmowa,Кинокомедия
Scenariusz,Сценарий
Scenariusz oryginalny,Оригинальный сценарий
Scenografia,Сценография
Science fiction,Научная фантастика
Sekwencja,Сцена
Studio filmowe,Киностудия
Sztuka filmowa,Киновидение
Thriller,Триллер
Tło muzyczne,Музыкальное сопровождение
Utwór filmowy,Киносаундтрек
Wymyślny,Фантазийный
Wysoka ocena,Высокая оценка
Zdjęcia,Съемки
Zdjęcie panoramiczne,Панорамная съемка
Zespół filmowy,Кинокоманда
Znakomity,Замечательный
Zwiastun,Трейлер
Złota palma,Золотая пальма
Ścieżka dźwiękowa,Саундтрек
"Światła, kamera, akcja!","Свет, камера, мотор!"
Kierowca,Водитель
Kierownica,Руль
Kierownik,"Управляющий, менеджер"
Płeć,Пол ( мужской/женский/другое)
Smycz,Поводок
Bodziec,Стимул
Pierwiastek,(в химии) - химический элемент
Promieniotwórczość,Pадиоактивный распад
Wynalazek,"Открытие, изобретение"
Wynaleźć,"Открыть, изобрести"
Dosyć dużo,Довольно много
Dotykać,"Касаться, трогать"
Dziadkowie,Babcia+dziadek
Dziecięca gra,Детская игра
Dzieciństwo,Детство
Mianowicie,А особенно
Nastolatek,Подросток
Okres dorastania,"Юношество, период созревания"
Piosenka,Песня
Powietrze,Воздух
Pozostać,"Остаться неизменённым, самим собой"
Tlen,Кислород
W ogóle,В общем
Wspomnienia,Воспоминания
Zbieraliśmy się,Мы собирались
Zostawić,Оставить
Do celu,К цели
Klasa,Женского рода в польском - класс
O świecie technicznym,О технологическом мире
Obserwować,Наблюдать (не нести ответственности)
Pilnować,Следить за кем-то(нести ответственность)
Spółka,Фирма
Tolerancyjny,Толерантный
W kierunku,По направлению/по специальности
W/poza,В/за
Wiadomościach,Новостях
Wychowanie fizyczne,Физкультура
Wywiad,Интервью
Wyścigi samochodowe,Гонки
Wątroba,Печень
Dbać o siebie,"Следить за собой, заботиться о себе"
Streścić,Сократить
Walizka,Чемодан
Walka z narkotykami,Борьба с наркотиками
Zazdrościć,Zazdroszczę - завидовать - я завидую
Żonaty/mężatka,Женат/замужняя
Była sprzedawczynią,Была продавщицей
Częścią polskiego społeczeństwa,Частью польского общества
Kraj/państwo,Страна/государство
Krew,Кровь
Krewny,Родственник
Los,Судьба
Marynarz,Моряк
Masakra,"Ужас/кошмар, редко - резня"
Masakryczny,Ужасный/кошмарный
Modlitwa,Молитва
Męczyć,Мучать
Na razie mam umowę/ szukam pasującą pracę,На данный момент у меня контракт/ищу подходящую работу
Na statku,На корабле
Na stałe,На постоянной основе
Obywatelstwo,Гражданство
Odwiedzać/odwiedzić,Посещать/посетить
Oscypek,Осцыпек (сыр)
Plan się udał,План исполнился
Po co/ dlaczego,Зачем? почему? для чего?
Pochodzenie polskie/korzenia polskie,Польское происхождение или корни
Podatki,Налоги
Podstawa,Основание
Przeprowadzić się/ przeprowadzka,Переехать/переезд
Rozmawających,Разговаривающих
Sedno,Суть
Spędzać/marnować (czas),Проводить/тратить ( время )
Sztuczna,Искусственная
Wydrukować,Напечатать
Znajduje się,Находится
Łotewski pobyt,Латвийский вид на жительство
Świadectwo urodzenia,Свидетельство о рождении
"Ciekawa rzecz=ciekawostka
walka",Интересная вещь
Dowiedzieć się,Узнать
Obwód witebski,Витебский район
Pagaństwo,Язычество
Pochowany,Похоронен
Łyżwy,Коньки
Serpentyna,Серпантин
Laweta,Эвакуатор
Ubezpieczenie,Страховка
Оblodzenie,Гололёд
Kreskówki / film animowany,Мультфильм
Płyn,Жидкость
Gardło,Горло
Spinać,"Прямое значение (соединять элементы, объединять чем-то, связывать вместе) переносное значение (закрываться в себе, напрягаться, нервничать)"
Wspinać się,"Взбираться вверх, например на гору"
Objaw,Симптом
Przeziębienie,Простуда
Grypa,Грипп
Kac,Похмелье
Ogłądać po raz kolejny,Смотреть занова
Wątpliwość,Сомнение
Ozdoba,Украшение
Siłownia,Спортзал
Wytrzymałość,Выносливость
Jechać z powrotem,Возвращаться (туда и обратно)
Oszcędności,Сбережения
Oczszędzać,"Копить,экономить, сберегать"
